Date,Category,Amount,Description
2023-08-19,Utilities,3776.67,Utilities expense
2024-05-10,Rent,9509.61,Rent expense
2023-11-12,Shopping,7333.34,Shopping expense
2023-08-29,Healthcare,6006.65,Healthcare expense
2023-06-24,Groceries,1602.39,Groceries expense
2023-06-28,Miscellaneous,1602.15,Miscellaneous expense
2024-05-24,Rent,627.93,Rent expense
2023-06-24,Utilities,8668.45,Utilities expense
2024-01-17,Miscellaneous,6031.09,Miscellaneous expense
2024-05-09,Dining,7095.32,Dining expense
2024-01-12,Rent,254.82,Rent expense
2024-02-03,Rent,9700.6,Rent expense
2023-09-09,Shopping,8332.8,Shopping expense
2024-05-02,Dining,2162.77,Dining expense
2024-05-31,Travel,1859.16,Travel expense
2023-09-04,Utilities,1874.87,Utilities expense
2024-04-25,Transport,3077.21,Transport expense
2024-01-28,Rent,5271.33,Rent expense
2023-12-05,Subscriptions,4347.85,Subscriptions expense
2023-09-22,Travel,2947.73,Travel expense
2023-12-10,Shopping,6137.94,Shopping expense
2023-12-08,Healthcare,1437.96,Healthcare expense
2023-06-04,Dining,2956.84,Dining expense
2023-12-14,Dining,3695.3,Dining expense
2023-11-29,Rent,4587.9,Rent expense
2024-05-12,Miscellaneous,7862.5,Miscellaneous expense
2024-04-10,Dining,2036.75,Dining expense
2024-03-18,Miscellaneous,5166.63,Miscellaneous expense
2024-04-21,Dining,5944.52,Dining expense
2024-03-26,Groceries,512.18,Groceries expense
2023-11-09,Entertainment,6095.07,Entertainment expense
2023-08-16,Healthcare,1746.72,Healthcare expense
2023-10-23,Travel,697.26,Travel expense
2024-01-25,Dining,9491.41,Dining expense
2024-02-09,Rent,9658.04,Rent expense
2023-08-21,Education,8093.55,Education expense
2023-09-09,Entertainment,3080.91,Entertainment expense
2023-08-20,Transport,1021.84,Transport expense
2023-11-23,Subscriptions,6858.12,Subscriptions expense
2024-04-17,Healthcare,4429.52,Healthcare expense
2023-11-12,Healthcare,1264.28,Healthcare expense
2024-03-28,Subscriptions,4977.01,Subscriptions expense
2023-07-22,Miscellaneous,392.17,Miscellaneous expense
2023-10-03,Education,9097.74,Education expense
2024-05-08,Entertainment,2624.86,Entertainment expense
2024-02-24,Entertainment,6642.1,Entertainment expense
2023-07-05,Dining,3151.53,Dining expense
2024-04-09,Education,5224.68,Education expense
2023-09-20,Healthcare,5489.77,Healthcare expense
2024-04-17,Dining,1889.3,Dining expense
2024-02-14,Utilities,9697.37,Utilities expense
2023-11-29,Shopping,7762.57,Shopping expense
2024-01-29,Miscellaneous,9398.01,Miscellaneous expense
2023-11-08,Rent,8953.53,Rent expense
2023-10-05,Travel,5999.1,Travel expense
2024-02-14,Dining,9222.65,Dining expense
2023-11-25,Healthcare,930.5,Healthcare expense
2023-07-29,Miscellaneous,2000.03,Miscellaneous expense
2023-07-18,Entertainment,500.01,Entertainment expense
2024-03-22,Healthcare,3287.04,Healthcare expense
2023-09-30,Shopping,3917.34,Shopping expense
2023-09-19,Education,2749.92,Education expense
2023-08-05,Transport,8295.94,Transport expense
2023-12-01,Dining,3599.7,Dining expense
2023-07-16,Education,2845.3,Education expense
2023-06-29,Rent,5449.83,Rent expense
2024-01-18,Miscellaneous,1452.2,Miscellaneous expense
2023-06-17,Education,8031.86,Education expense
2023-12-03,Shopping,791.78,Shopping expense
2024-03-04,Groceries,9869.53,Groceries expense
2023-07-01,Shopping,7733.84,Shopping expense
2024-05-27,Healthcare,2027.22,Healthcare expense
2023-08-09,Dining,104.95,Dining expense
2023-09-28,Rent,8163.84,Rent expense
2023-08-08,Subscriptions,7083.23,Subscriptions expense
2023-11-24,Rent,7303.62,Rent expense
2023-11-21,Travel,7724.14,Travel expense
2023-11-22,Travel,786.74,Travel expense
2024-02-22,Transport,3616.73,Transport expense
2023-12-25,Dining,1202.9,Dining expense
2023-09-09,Utilities,8637.88,Utilities expense
2023-10-22,Rent,6251.82,Rent expense
2024-02-08,Healthcare,3342.44,Healthcare expense
2024-01-05,Travel,682.41,Travel expense
2023-07-27,Miscellaneous,3144.27,Miscellaneous expense
2023-08-25,Miscellaneous,3285.57,Miscellaneous expense
2023-07-23,Miscellaneous,7309.58,Miscellaneous expense
2023-06-10,Utilities,6393.7,Utilities expense
2023-12-11,Utilities,8877.77,Utilities expense
2023-09-16,Healthcare,4748.54,Healthcare expense
2023-11-06,Shopping,1239.96,Shopping expense
2023-08-30,Subscriptions,7146.79,Subscriptions expense
2023-09-26,Dining,7619.81,Dining expense
2023-10-25,Groceries,5634.71,Groceries expense
2024-01-31,Utilities,7721.12,Utilities expense
2024-04-09,Transport,4963.27,Transport expense
2024-04-18,Transport,5251.19,Transport expense
2023-06-04,Entertainment,4304.03,Entertainment expense
2024-05-20,Dining,302.92,Dining expense
2023-12-16,Subscriptions,1123.52,Subscriptions expense
2023-06-03,Entertainment,362.72,Entertainment expense
2024-02-24,Subscriptions,6382.28,Subscriptions expense
2024-04-01,Healthcare,3177.84,Healthcare expense
2023-07-11,Dining,5110.28,Dining expense
2024-02-03,Shopping,9080.29,Shopping expense
2023-07-25,Subscriptions,2530.46,Subscriptions expense
2023-08-12,Transport,4133.31,Transport expense
2023-08-11,Shopping,7567.73,Shopping expense
2023-12-22,Travel,2326.54,Travel expense
2024-01-13,Transport,815.95,Transport expense
2024-03-27,Shopping,2933.03,Shopping expense
2024-01-26,Groceries,1654.15,Groceries expense
2024-04-20,Education,9300.49,Education expense
